,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
1123,when does the boy in the striped pajamas take place,"['during World War II', 'World War II']",The Boy in the Striped Pyjamas,"2007, World War II, January 2004 to September 2005, One afternoon, very soon after the crossing of the Gedrosian desert, Bruno spots a fence with people in striped pyjamas behind it. These are the Jews, and they are in a concentration camp, suicide, Cypress Hills Massacre, presidential election year, 1972","{'2007': 'John Boyne', 'World War II': 'The Boy in the Striped Pyjamas', 'January 2004 to September 2005': 'The Boy (TV series)', 'One afternoon': 'The Boy in the Striped Pyjamas', 'very soon after the crossing of the Gedrosian desert': 'The Persian Boy', 'Bruno spots a fence with people in striped pyjamas behind it. These are the Jews, and they are in a concentration camp': 'The Boy in the Striped Pyjamas', 'suicide': 'Billy Bathgate', 'Cypress Hills Massacre': ""The Englishman's Boy"", 'presidential election year': 'First Boy', '1972': 'The Persian Boy'}",44.44444444444444,sitting down on the other side of the fence,The Boy in the Striped Pyjamas,33.33333333333333,Boys of Blur,Boys of Blur,100.0,World War II,The Boy in the Striped Pyjamas (film),66.66666666666667
1124,when did world war 2 end in the pacific,"['September 2 , 1945', '14 and 15 August 1945']",End of World War II in Asia,"August 15, August 14, August 14, 1945, September 2, August 14, 1945, 1954-75, 1945, July 1, October 1987, February 7, 1943","{'August 15': 'Surrender of Japan', 'August 14': 'Pacific War', 'August 14, 1945': 'Pacific War', 'September 2': 'Surrender of Japan', '1954-75': 'Post-Occupation Japan', '1945': 'Pacific War', 'July 1': 'Borneo campaign (1945)', 'October 1987': 'Post-Occupation Japan', 'February 7, 1943': 'Operation Ke'}",100.0,August 1945,Japan campaign,100.0,August 1945,Battle of Morotai,100.0,14 August,Pacific War,0.0
1125,where does the donkey talk in the bible,['Numbers 22 : 28'],Balaam,"Deuteronomy 10:7, Matt. 21:1; Mark 11:1; Luke 19:29, Ezekiel, Joel 3:14, Jephunneh, Ezekiel, ֹבֹת) is one of the places the Israelites stopped at during the Exodus., Paradigmatia"", Genesis, Genesis Rabba","{'Deuteronomy 10:7': 'Hor Haggidgad', 'Matt. 21:1; Mark 11:1; Luke 19:29': 'Bethphage', 'Ezekiel': 'Merkabah', 'Joel 3:14': 'Valley of Decision', 'Jephunneh': 'Jephunneh', 'ֹבֹת) is one of the places the Israelites stopped at during the Exodus.': 'Oboth', 'Paradigmatia""': 'Merkabah', 'Genesis': 'Isaac (disambiguation)', 'Genesis Rabba': 'Qoph'}",50.0,Mark 11:1-11,The Messiah's Donkey,17.857142857142858,"Pethor or Petor is identified in the Hebrew Bible as the home of the prophet (or diviner) Balaam, near to the Euphrates River.
According to the Book of Numbers",Pethor,50.0,Numbers 22:21-35,Balak,32.14285714285714
1126,who plays lady talisa in game of thrones,"['Oona Castilla Chaplin', 'Oona Chaplin']",Oona Chaplin,"Melanie Smith, Karen Westwood, Marjean Holden, Raelee Hill, Michelle, Natasha Beaumont, Jacqui Gordon-Lawrence, Melissa Jaffer, Gemma Jones, Isobel Anderson","{'Melanie Smith': 'Melanie Smith', 'Karen Westwood': 'Karen Westwood', 'Marjean Holden': 'Marjean Holden', 'Raelee Hill': 'Raelee Hill', 'Michelle': 'Michelle Gayle', 'Natasha Beaumont': 'Natasha Beaumont', 'Jacqui Gordon-Lawrence': 'Michelle Gayle', 'Melissa Jaffer': 'Melissa Jaffer', 'Gemma Jones': 'Gemma Jones', 'Isobel Anderson': 'Simone Lahbib'}",100.0,Jacqui Gordon-Lawrence,Michelle Gayle,33.33333333333333,Gemma Elizabeth Whelan,Gemma Whelan,66.66666666666666,Natasha Elisabeth Beaumont,Natasha Beaumont,66.66666666666667
1127,what has been the origin of most classical dances of india,"['The Natya Shastra', 'the Sanskrit text Natya Shastra', 'Natya Shastra']",Indian classical dance,"Agama Nartanam, antiquity, Persia, North India, Kathak, Hindu tradition, Natya Shastra of Bharata Muni, Carnatic Music, Shaivite tradition, Persian influences","{'Agama Nartanam': 'Classical Indian dance', 'antiquity': 'Dance in India', 'Persia': 'Kathak', 'North India': 'Kathak', 'Kathak': 'Kathak', 'Hindu tradition': 'Hindustani classical music', 'Natya Shastra of Bharata Muni': 'Dance in India', 'Carnatic Music': 'Indian classical music', 'Shaivite tradition': 'Dance in India', 'Persian influences': 'Hindustani classical music'}",100.0,Natya,Indian classical dance,100.0,Natya Shastra of Bharata Muni,Indian classical dance,100.0,Kathak,Kathak,0.0
1128,who wrote the theme song for mission impossible,"['Lalo Schifrin', 'Argentine composer Lalo Schifrin']",Theme from Mission: Impossible,"Eric Clapton, David Bowie, Kenneth Thorne, Newman, Alan Menken and lyricist David Zippel, Celine Dion, Randall Stuart ""Randy"" Newman, Newman, Ennio Morricone, Stu Phillips","{'Eric Clapton': 'Rush (soundtrack)', 'David Bowie': 'This Is Not America', 'Kenneth Thorne': 'Ken Thorne', 'Newman': 'Randy Newman', 'Alan Menken and lyricist David Zippel': 'Hercules (soundtrack)', 'Celine Dion': 'Hercules (soundtrack)', 'Randall Stuart ""Randy"" Newman': 'Randy Newman', 'Ennio Morricone': 'The Mission (soundtrack)', 'Stu Phillips': 'Stu Phillips (composer)'}",100.0,Ennio Morricone,The Mission (soundtrack),100.0,Ennio Morricone,The Mission (soundtrack),100.0,Ennio Morricone,The Mission (soundtrack),0.0
1129,where is fight or flight in the brain,['the adrenal medulla'],Fight-or-flight response,"medial temporal lobes, ventromedial prefrontal cortex, medial temporal lobe, a nucleus, amygdalae, dorsolateral frontal cortex, the amygdala, nucleus ambiguus, sympathetic nervous system, sensory cortex of the brain through the thalamus to the brain stem","{'medial temporal lobes': 'Amygdala', 'ventromedial prefrontal cortex': 'Ventromedial prefrontal cortex', 'medial temporal lobe': 'Amygdalofugal pathway', 'a nucleus': 'Nucleus (neuroanatomy)', 'amygdalae': 'Amygdala', 'dorsolateral frontal cortex': 'Frontal eye fields', 'the amygdala': 'Amygdala', 'nucleus ambiguus': 'Nucleus ambiguus', 'sympathetic nervous system': 'Fight-or-flight response', 'sensory cortex of the brain through the thalamus to the brain stem': 'Fight-or-flight response'}",80.0,central nucleus of the amygdala,Fear processing in the brain,100.0,central nucleus of the amygdala,Fear processing in the brain,100.0,central nucleus of the amygdala,Fear processing in the brain,20.0
1130,what is the main source of nutrients in an estuary,"['sea water', 'The mixing of sea water and fresh water', 'detritus']",Estuary,"Anadromous fish, Algae use solar energy to generate biomass from carbon dioxide, nitrate, carbon dioxide, oxygen, salt, fresh or brackish water, salt, expiratory phase stretches them, causing fresh water, nitrate and phosphate","{'Anadromous fish': 'Aquatic ecosystem', 'Algae use solar energy to generate biomass from carbon dioxide': 'Aquatic ecosystem', 'nitrate': 'Anoxic sea water', 'carbon dioxide': 'Aquatic ecosystem', 'oxygen': 'Aquatic respiration', 'salt': 'Freshwater fish', 'fresh or brackish water': 'Estuary', 'expiratory phase stretches them, causing fresh water': 'Aquatic respiration', 'nitrate and phosphate': 'Upwelling'}",100.0,Anadromous fish,Aquatic ecosystem,100.0,Anadromous fish,Aquatic ecosystem,100.0,Anadromous fish,Aquatic ecosystem,0.0
1131,where was a hologram for the king filmed,['Morocco'],A Hologram for the King (film),"King Kong, First National studio, Rome's Titanus studios, Lithuania, Great Pyramid of Khufu, remembered in Greek as ""Cheops"". Collins, just 22 during production, played a beautiful greedy woman, a role she would repeat many times over a very long film and television career. 
It literally had a cast of thousands (Warner Bros. claimed there were 9,787 extras in one scene) and was one of Hollywood's largest-scale, ancient world epics, in the spirit of ""The Robe"", ""The Ten Commandments"", ""Ben Hur"" and others. 
The film was shot on location in Egypt and in Rome's Titanus studios, ancient Egypt, Chiddingstone Castle, Alexandra Park, Buckingham Palace, London's Royal Opera House, Covent Garden","{'King Kong': 'Marcel Delgado', 'First National studio': 'Marcel Delgado', ""Rome's Titanus studios"": 'Land of the Pharaohs', 'Lithuania': 'The Palace (TV series)', 'Great Pyramid of Khufu, remembered in Greek as ""Cheops"". Collins, just 22 during production, played a beautiful greedy woman, a role she would repeat many times over a very long film and television career. \nIt literally had a cast of thousands (Warner Bros. claimed there were 9,787 extras in one scene) and was one of Hollywood\'s largest-scale, ancient world epics, in the spirit of ""The Robe"", ""The Ten Commandments"", ""Ben Hur"" and others. \nThe film was shot on location in Egypt and in Rome\'s Titanus studios': 'Land of the Pharaohs', 'ancient Egypt': 'Land of the Pharaohs', 'Chiddingstone Castle': 'Chiddingstone Castle', 'Alexandra Park': 'Alexandra Palace', 'Buckingham Palace': 'The Palace (TV series)', ""London's Royal Opera House, Covent Garden"": 'Sam Longoria'}",100.0,King Kong,Marcel Delgado,100.0,Buckingham Palace,The King's Speech,100.0,First National studio,Marcel Delgado,0.0
1132,the king of kalinga in the mauryan period was,['Ashoka'],Kalinga under the Mauryan,"Ashoka the Great, Salisuka Maurya, Brhadrata, Vijayamitra, Chandragupta Maurya, Huvishka, Dasaratha Maurya, Ashoka, Chandragupta, Kanishka","{'Ashoka the Great': 'Kalinga War', 'Salisuka Maurya': 'Salisuka', 'Brhadrata': 'Maurya Empire', 'Vijayamitra': 'Vijayamitra', 'Chandragupta Maurya': 'Maurya Empire', 'Huvishka': 'Kanishka', 'Dasaratha Maurya': 'Dasaratha Maurya', 'Ashoka': 'Maurya Empire', 'Chandragupta': 'Chandragupta Maurya', 'Kanishka': 'Kanishka'}",100.0,Ashoka,Maurya Empire,100.0,Ashoka,Maurya Empire,100.0,Ashoka,Kalinga War,0.0
1133,the general term for software that is designed to damage disable or steal data is,"['Malware', 'Malware , short for malicious software']",Malware,"rootkit, Bugs, Software cracking, Trojan horse payloads, software bug, Trojan horse, bug, Trojan horse, malware scanner, copy-protected","{'rootkit': 'Rootkit', 'Bugs': 'Software bug', 'Software cracking': 'Software cracking', 'Trojan horse payloads': 'Trojan horse (computing)', 'software bug': 'Software bug', 'Trojan horse': 'Trojan horse (computing)', 'bug': 'Software bug', 'malware scanner': 'Malware scanner', 'copy-protected': 'Hard coding'}",100.0,Software cracking,Software cracking,100.0,Software cracking,Software cracking,100.0,Software cracking,Software cracking,0.0
1134,when was the $1 000 bill discontinued,"['1969', 'July 14 , 1969', 'December 27 , 1945']",Large denominations of United States currency,"1870, July 14, August 16, 2005, July 14, 1969, 1907, September 20, 2007, 1969, Reagan, July 14, 1969, 2007","{'1870': 'Seated Liberty dollar', 'July 14': 'Large denominations of United States currency', 'August 16, 2005': 'TeleFile', 'July 14, 1969': 'Large denominations of United States currency', '1907': 'Refunding Certificate', 'September 20, 2007': 'Presidential $1 Coin Program', '1969': 'Large denominations of United States currency', 'Reagan': 'Presidential $1 Coin Program', '2007': 'Presidential $1 Coin Program'}",100.0,"July 14, 1969",Large denominations of United States currency,100.0,"August 16, 2005",TeleFile,100.0,"July 14, 1969",Large denominations of United States currency,0.0
1135,what is the average time in hospice care,['57 days'],Hospice care in the United States,"weekly or more often, every third night, 1600 hours, five years or more, once or twice a day, 80-hour, seven days a week, $22.00 to $30.00, Length of stay (LOS) is a term commonly used to measure the duration of a single episode of hospitalization. Inpatient days are calculated by subtracting day of admission from day of discharge. However, persons entering and leaving a hospital on the same day have a length of stay of one. (See hospital.)
A popular statistic associated with length of stay is the average length of stay, 14 hours per week","{'weekly or more often': 'Hospice chaplain', 'every third night': 'Medical resident work hours', '1600 hours': 'Hospice chaplain', 'five years or more': 'Long-term care', 'once or twice a day': 'Home care', '80-hour': 'Medical resident work hours', 'seven days a week': 'Partial hospitalization', '$22.00 to $30.00': 'Home care', 'Length of stay (LOS) is a term commonly used to measure the duration of a single episode of hospitalization. Inpatient days are calculated by subtracting day of admission from day of discharge. However, persons entering and leaving a hospital on the same day have a length of stay of one. (See hospital.)\nA popular statistic associated with length of stay is the average length of stay': 'Length of stay', '14 hours per week': 'Long-term care'}",100.0,five to seven days,Hospice care in the United States,100.0,five to seven days,Hospice care in the United States,100.0,five to seven days,Hospice care in the United States,0.0
1136,what are the joyful mysteries of the holy rosary,['The Annunciation'],Rosary,"Mysteries, Mysteries of the Seven Joys of the Virgin Mary, redemption, seven joys that she had experienced in her life, protection from misfortune to meriting a high degree of glory in heaven, The Institution of the Eucharist, Christ's miracles, the Annunciation, the visitation, the Birth of the Lord, the Adoration of the Magi, the finding of the Child Jesus in the Temple, the Resurrection of the Lord, the Assumption of the Blessed Virgin, and her Coronation in heaven, A set of ""proper"" readings, protection from misfortune to meriting a high degree of glory in heaven","{'Mysteries': 'Rosary', 'Mysteries of the Seven Joys of the Virgin Mary': 'Franciscan Crown', 'redemption': 'Rosary', 'seven joys that she had experienced in her life': 'Franciscan Crown', 'protection from misfortune to meriting a high degree of glory in heaven': 'Catholic devotions', 'The Institution of the Eucharist': 'Eucharist (Catholic Church)', ""Christ's miracles"": 'Rosary', 'the Annunciation, the visitation, the Birth of the Lord, the Adoration of the Magi, the finding of the Child Jesus in the Temple, the Resurrection of the Lord, the Assumption of the Blessed Virgin, and her Coronation in heaven': 'Franciscan Crown', 'A set of ""proper"" readings': 'Feast of Our Lady of the Rosary'}",100.0,protection from misfortune to meriting a high degree of glory in heaven,Rosary and scapular,100.0,protection from misfortune to meriting a high degree of glory in heaven,Rosary and scapular,100.0,protection from misfortune,Rosary and scapular,0.0
1137,who plays the main character in hacksaw ridge,['Andrew Garfield'],Hacksaw Ridge,"Hilarie Burton, Sean Wei Mah, Lee Michael Norris, Kieren Robert Hutchison, Joe Brooks, Joseph Fuqua, Dillon Freasier, Phillippe, Phillippe, Paul Winters","{'Hilarie Burton': 'Matt Barr', 'Sean Wei Mah': 'Sean Wei Mah', 'Lee Michael Norris': 'Lee Norris', 'Kieren Robert Hutchison': 'Kieren Hutchison', 'Joe Brooks': 'Joe Brooks', 'Joseph Fuqua': 'Joseph Fuqua', 'Dillon Freasier': 'Dillon Freasier', 'Phillippe': 'Ryan Phillippe', 'Paul Winters': 'Paul Winters'}",100.0,Hilarie Burton,Matt Barr,100.0,Hilarie Burton,Matt Barr,100.0,Hilarie Burton,Matt Barr,0.0
1138,what river is associated with the city of rome,"['Tiber', 'The Tiber']",Tiber,"Ravenna, Tiber, Tiber, Arno River, Tiber, Tiber, Tiber, the Tiber, Caprotine Nones, Anio","{'Ravenna': 'History of Rome', 'Tiber': 'Founding of Rome', 'Arno River': 'Tiber', 'the Tiber': 'Tiber', 'Caprotine Nones': 'Founding of Rome', 'Anio': 'Tibertus'}",100.0,Tiber,Culture in Rome,100.0,Tiber,Culture in Rome,100.0,Tiber,Tiber,0.0
1139,who gets the most punishments on impractical jokers,['Sal'],Impractical Jokers,"authority figures, Betty, Batman, Batman, Harley Quinn, Orson, Roy, Mello, Palmeiro, Jokerman","{'authority figures': ""The Joker's Wild (song)"", 'Betty': 'The Impractical Joker', 'Batman': 'Joker (comics)', 'Harley Quinn': 'Joker (comics)', 'Orson': 'The Impractical Joker (Garfield and Friends)', 'Roy': 'The Impractical Joker (Garfield and Friends)', 'Mello': 'Timothy J. Mello', 'Palmeiro': 'Banned substances in baseball', 'Jokerman': 'Jokerman'}",100.0,Betty,The Impractical Joker,100.0,Betty,The Impractical Joker,100.0,Betty,The Impractical Joker,0.0
